刘佳(00:08:08): 各位领导和同事能听到我说话吗？我看那个人都齐了，我们就开始吧！
陈俊(01:40:51): 他得把病开完的作为。

李飞宇(01:40:53): 那病看完的话，患者那这样的，那你比如说他在早上第三方影像中心，比如说早上这个影像中心做完之后，现在患者也不拿胶片了，他就是去看病的时候，他会把这个二维码交给这个医生。然后医生的话一扫二维码或者在他的上面直接就看了。那你说这后面这个诊疗的过程的话，据说是医生他们患者做完之后。那么他还要去做找医生看病，但是这个后续的话，他因为和影像检查就没有关系了，后续是个线下的线上的过程。

刘佳(01:41:33): 飞宇这补充一下，就是我们现在运营人员的话就是临床医生推荐患者过来做检查，做完检查之后，然后患者拿着片子和报告离开去找临床医生。在这个过程当中，运营人员会把报告和图像的链接会以微信的方式会发给医生。

李飞宇(01:41:50): 对的我就我的意思，咱们先把它弄清了之后的话医生就没有必要去主动去看见这个，因为也有的患者他可能做完之后他就去找别的。医生了就不回来找找，原来给他推荐的医生了，那医生就没有必要主动去看这个嘛，如果患者回来了之后，要不就是咱们的运营人员把这个这片子和这个照片发给他，要不就患者自己就弄了。

李飞宇(01:42:20): 像咱们的话，其实也分这么几种情况，你看咱们这边是县中心那种就是个人的那种患者，医生推荐过来的，比如说是医生自己推荐过来的，这种的话，就患者弄完之后要不拿着这个胶片袋子，现在更多的就是拿着自己的手机的二维码回去找这个医生。去做就然后在手机上看，或者在哪看，还有一种比如说是那种小 H 端的，那么公对公的，其实就是我说的，因为只要开发出来一个就是能够让那个医生在那小诊所里边的电脑上类似于工作站，他能够看到那个公对公的，那就是相当于在自己医院的放射科的那种看的那种方法，他能够直接追踪到这个病人的情况，我觉得并不说是不是要对费用的话，没有必要说是医生主动非要去看到这个患者这个图像。

陈俊(01:43:15): 如果是这样说的话，那他看外省的报告解读。也就没有关系！

陈俊(01:43:25): 袁戎就是你能够打乱来打混来是最好的。从合规角度来讲。

袁戎(01:43:32): 可以，我跟你说打断这个不是个技术问题，现在就是因为因为我看今天景璇他没在，因为这个地方是景璇不是你还给我打个电话，你们上次一起跟那个。针是不是明显跟针时候也提了个问题，就是医生他们一直都想说，我要看到我开出来的单子患者。是有这个需求在我们当时才这么来解决这个问题的。

陈俊(01:43:59): 他要看到他要找找嘛，找找微信不找那个运营来协调。

李飞宇(01:44:05): 他是要看账的目的是什么？是为了对账，为了后面再看病？

袁戎(01:44:05): 是可以！

陈俊(01:44:15): 他的目的是为了看到他到底开了多少单？

袁戎(01:44:20): 我理解这两个都有。就飞总的两个诉求，他其实都是有的。

李飞宇(01:44:29): 我觉得第二个诉求，相对来说更弱化一些，因为患者如果回去找他弄的话，他怎么都能看到这个图像嘛，如果患者不去找他看这图像也没用嘛，一般来说，你看医生一天看了那么多个号，后边患者找不着他来复诊，他有的来找，有的不来找他，其实是不 care 这个我觉得主要是第一个事，第事怎么样去想办法建立这种信任感去解决，可能是更重要一些。

刘佳(01:45:09): 我还想再补充一点，就是我们在线下的运营人员跟临床医生互动的这个过程当中，首先是如果说临床医生有患者需要做检查，要给我们中心推过来的话，医生会及时的把患者的信息，比如说姓名或者以及要做什么样的项目会给运营人员的微信，会发一个这样的信息，发完之后运营人员就收到了这个患者的信息，然后就会实时的去看这个患者有没有来做检查，有没有交费做没做完了之后，他就会把这个报告及时的再发给医生去，所以我就。

刘佳(01:45:49): 那么我们是否可以把线下的线下运营人员，这部分的工作也结合起来去做，这样的话是不是就医生就比较清楚的知道他开了几个单，然后怎么样看报告是不是就能。相结合一下。

李飞宇(01:46:10): 其实这样这种东西不留痕的话，就是通过线线下这种微信发，比如说他医医生一天，今天的出诊，他给咱们西安中心开了三个单子，最后就来了一个患者，但是这三个单子，其实这个信息的话，医生也会发给咱们的和他对接的市场人员，然后当天或者是哪天来了之后就会告诉这个医生，这个今天你这开了三个，今天来了一个，今天我就及时告诉他，那么可能第二天又来了一个就昨天开了三个里边又来了一个，就会及时告诉这个第一肯定双套一种。

李飞宇(01:46:43): 信信任感第二个就是反馈一个及时性，这个其实这两边麻烦的事很多的还有患者做完了之后又找各种理由去退费，退完了之后前面已经给医生说了这个做了，那医生觉得我先拿这个钱，后面的话又要给他解释，你这个患者因为什么原因他退费了。

李飞宇(01:47:00): 对他你拿不了这个的话，其实这个东西第一，你肯定还有一些必须得有一些制度，你知道吧，就是专人去对接的交流，而且必须还有双方的一些信任在这个里边，不要想着完全就通过这种线上的方式就能够全部的解决，哪怕量再大的话，很可能也要用这种方式。来做一些吧，这种聊天记录该删的时候就很快就要删掉。

李飞宇(01:47:59): 我觉得只要是医生出现在里边的话来了一个实时外的自然做检查的话，咱们也就及时反馈给医生，这样时间长了，这种默契就建立起来了又。不是起码在几天之后洗洗三天之后就再也不留痕了。

陈俊(01:48:28): 我在想，如果我们能够做到及时分账，比方说当天就能结掉，或者是第二天就能结掉这个对账的事情是不是就没有什么意义了？因为一天的事情，他还是能够感觉出来的。袁戎你觉得？

李飞宇(01:48:49): 你要一天的事情可能感觉出来。

袁戎(01:48:54): 可是可以叫他解读的列表没有关系，就是我们就是定下，比如说就是我们只是要他数量上对应起来，比如说开了5个 ct，就是给他解读5个 ct 就是别的地方的患者。没问题，我们就定下来就好了。

李飞宇(01:49:13): 作用其实更好，因为医生已经找开了三个单子，但是在这三个单医生患者都会来检查，但他可能不是说是当天来，他可能最晚的那个一周以后。他有时间了才去找线下的，我们交付中心去做这个检查，但只要他做了之后就及时给医生叫就行了，并不是说拍的照片上。都是当天做的，有的确是看完之后一个星期以后患者才去做，你经常也会遇到这种情况。

陈俊(01:49:47): 对他有个是否提现这个事情嘛，他可以不提现等等。他想提现的时候就提现，我觉得稍我觉得我们稍微那个一下，这里面最最纠结的一个点在于哪里在于就是医生想去对账。他怕这里面会有信息差或者有数量的差，然后导致他的受了损失，就这是一个最大的顾虑，但如果我们可以做到及时跟他。提现的话，应该应是可以把它的信任度降到最低，就是对我们的信任会加强，提升到最高，这是这一行。第二个问题就是。医生刚刚说的，他为了把病看完，他得看到这个报告事情报告可以通过其他的方式来推给他，就不需要让老百姓再去主动找他展示二维码给他看或者干嘛的等等这些事情，就我们。我们不是说一定是必选项，就是一定得去干这个事情，那这一点就也不用太过于纠结。然后要不这样吧，这个事情我们干脆就把这个事情这样去，就这样确定下来。第一个，我们需要改进的地方就是在医生跟患者之间推介这个动作上面改进一下就不要这么硬。就是两条线来弄这个事情，然后第二个就是说回到了医生来做这个报告解读做报告解读的话，就让他看外地的就是不要跟他推过来的病人这个信息产生对应，但是他需要做报告解读，我们再给他支付相应的劳务费。

陈俊(01:51:41): 这是第二个，然后第三个就是为了方便他把病看完整这个数据怎么回推，这个可以采用现有的期间型的中心的方法来考虑你，你们觉得？

陈俊(01:51:58): 崔总还有罗律师袁博你们几位？

李飞宇(01:52:04): 我觉得没问题，咱们的线下中心其实不同的2点是在第一个平台，我觉得更加的相对来说更加的安全一些，第二个的话就是一个量大的这种模式，那么就要考虑到成员的能力，或者第一点是会。

李飞宇(01:52:21): 优势第二点可能相对来说对比的话肯定是个劣势，但只要咱们这种通过线下的一些操作，或者说是非这种经过咱们这个信息化系统的一些操作，能够承压在量大的时候能够承压的话，我觉得这样是没问题的。

陈俊(01:52:52): 胡律师你你你这边？

涂丰涛(01:52:57): 我觉得你刚刚说的方案。

陈俊(01:53:04): 袁博。

袁戎(01:53:06): 可以我们就定下来！我们就是把这个列表给改一下。

陈俊(01:53:10): 你你你要不再复述一下我刚刚我们说的这个事情，我怕我会有偏差，就从就刚刚说这种第一个。推广的事情，怎么搞？

袁戎(01:53:24): 那个推广可能在想推广，我们可能在想一下吧，我觉得要整理出来，但我觉得因为我知道有些医院他们是不让医生在桌面上去摆任何第三方的二维码的，他们摆的二维码，有可能是医院自己的服务，比如说医院自己的互联网医院是可以摆的，包括什么医院自己的，有一些那种服务，他是可以什么微信支付什么医院自己的可以走，但是第三方我知道医院好像大医院都不让去摆第三方的，所以我觉得那个第一个推广过程，我觉得我们可以单独再想一下，我到时候我也想一下，然后第二个就是核心就是在这个医生去带解读。待解读报告的在待解读的患者的报告里面，我们现在就是别的患者吧，就是不是跟他不是他开单检查的他自己的患者就这个逻辑，然后剩下的。但是运营端就不要分享了运营端的一样，他可以看到这个医生实际最后开出的建议的检查，然后患者的一些情况，然后最后他通过运营，可以通过其他的方式去把这个东西发给医生。就这三个吧！

陈俊(01:54:34): 对。

袁戎(01:54:36): 第一个那个里面，我觉得那个刚刚是哪个同事说什么二附院什么，就我知道的大医院，尤其大三甲现在是不会让第三方的放的，包括什么水滴筹，什么都不让放。他们放的看的二维码可能是医院自己的服务，医院自己的，比如说互联网的挂号，互联网的交钱什么。However. 不一定是第三方的一个公司的二维码，不一定放的出来。

一米阳光(01:55:08): 我不太确定，因为我看到的是他说，有需求可以扫这个码，然后我就没怎么关注，我是今天开会，忽然间想起来确实有动作，有这么回事。我没扫。因为我是直接去做手术，所以没探究。

袁戎(01:55:28): 对所以我就说，我第一个过程，我们可能要在就第一个过程，我们要想一下子就是说白了就是看怎么来做些划分吧，包括可能我觉得不同的场景不一样，就是我觉得比如说诊所医院，我觉得可能就是相对要大家这个粗广一点的就是形形式三甲医院它也会不一样。

陈俊(01:55:45): 可以这样？袁不这样的东西我们不用在这上面纠结这个明天可以让高鹏问一下薛景璇啥的，然后直接去问医生。

袁戎(01:55:53): 对。

陈俊(01:56:01): 这是第一个方案，就问医生我这样摆那样摆什么的，可不可以这样的，然后第二个就是可以问那个做药的，就在医药部做药的，我也告诉过给那个。

袁戎(01:56:03): 对。

陈俊(01:56:12): 就给他们认识一些做药的可以也可以直接马上去问问，像问那个曹金茹等等，他本身他就跟一堆做药的在一起，在推动这个事情。

袁戎(01:56:24): 是的，所以我觉得第一个场景的怎么怎么调整，我们可以再考虑一下。

袁戎(01:56:47): 诶我。

陈俊(01:56:47): 对那行吧，我们第一个这个就怎么样去把两个信息对应起来，这个事情就明天就问一下吧，或者等会儿就问一下那个谢宇轩，让他们明天就去。了解一下。好不高鹏。

陈俊(01:57:18): 那我们主要是在第二个就统一了，就这样子就直接让他读读其他病。

胡高鹏(01:57:27): 其他的类型的病人名称还要带其他省份的话，是不是要把？

陈俊(01:57:34): 隐掉。

胡高鹏(01:57:35): 名称隐掉，那是不是把省份的字段加上去，他可能是其他的外省或者是那种东西，还是说只要错乱就可以了，只要不是一对一一。

陈俊(01:57:44): 要问飞总从我角度来讲。

李飞宇(01:57:49): 这可能是40四10万上七72没有关系，就是你是第一是咱们比如说给医生这个交叉你说的是交叉这个事，如果交叉的时候，咱们后台的规则是什么样的，那还有就是医生能看到的信息是什么样的，这两个并不是统一的。知道吧，就是不是外省，其实我觉得并不重要，但是如果你想后后面支持制定这个只能看外省的这种交叉的这种规则的话，咱们可以这样制定。后医生看到的话，只是和他类似于和他解读相关的一些信息。

胡高鹏(01:58:29): 我了解，只要就是交叉的，不是跟他开的单的患者11对应就可以了，只要就是患者交叉的 OK。

李飞宇(01:58:35): 对，然后你如果真的想设外省，你后面咱们可以设规则，但是我觉得这个好像没有太大的必要。

陈俊(01:58:47): 还有解读这个事情，不要让医生搞得太复杂。就什么意思，不要让他太花时间在解读上。理理解我说话的意思高鹏。

胡高鹏(01:59:05): 好解读的话，目前不就是在这里点一个去解读按钮，他进到这个页面，然后点这里默认给这个患者有一个解读的内容，然后他只用确认的话，因为他确认以后，他就把这个报告就解读一键操作，然后患者在这里的话就会点这里有个报告解读，他点进去以后，他就看到这个医生的签名在这里下面就是解读的内容，然后他可以评进行评价，就大概是这样的吗？他所以医生操作的话基本上是一键嘛，就一键操作嘛。还可以修改？

陈俊(01:59:37): 这不这个你到医生签名的界面要那么醒目吗？比方说张张医生签名。

胡高鹏(01:59:44): 没有到时候会弱化一点就没那么大，就是这不是设计图，只是圆形，然后展示的到时候会弱化点很小，就他自己上怎么样对。

陈俊(01:59:56): 我觉得是这样的，我觉得更多是展示解读的内容，医生的这个信息尽量是越不显眼越好，没必要暴露出来。

胡高鹏(02:00:08): 那说把医生签名不要然后解读他的解读人也不要告诉他，这两个。

一米阳光(02:00:20): 而不编号。

陈俊(02:00:22): 是我了一下，我刚才想好像作为患者来讲他。知不知道都无所谓吧，因为为什么这个又不是名医解读，那你打名字就很有意义嘛，你你有可能是个诊所的医生做的解读，你说。你理解我的意思！他不是那么？

胡高鹏(02:00:54): 对我理解，但这个跟这个不是闭环的吗？就是他做了解读报告费，他做了这件事情，然后才把钱给这个医生在这里有个署名的概念不加也可以。我是这样理解的就是加上可能会闭环不加也可以吧，我感觉就看看怎么定。

陈俊(02:01:15): 飞总，你怎么看这个问题，要写名字吗？解读？

李飞宇(02:01:22): 女方是看出来了。

陈俊(02:01:27): 没听太清！

李飞宇(02:01:27): 他换的时候他看医生的。喂，你说是什么看患者的名字？

陈俊(02:01:40): 不就他现在鼠标点解读的一就报告解读完了之后。医生要不要签名。

李飞宇(02:01:54): 我在想，我觉得那就看你把这个报告解读当成一一种什么形式来说，第一个它肯定不是个诊断报告。

胡高鹏(02:01:54): 要不要在医生？

李飞宇(02:02:05): 第二，它是不是一个咨询报告，我觉得不用医医生签名，我觉得不用女生填。

陈俊(02:02:19): 那要写医生名字吗？比方解读医生。医生签名他可以这样的吧，他你你从这个技术上角度来讲，比方说他在平台上写过一次他的签名的那个痕迹以后全部可以抓取过来，就不用他反反复复搞吧。他只要点一下确认解读这个东西就自动生成？

胡高鹏(02:02:48): 是自动的。

陈俊(02:02:50): 我只不过是说让他让你把这个东西不要搞这么醒目，就是你不要展示的这不行吗？你更多的要解读的内容展示，把医生的这个信息给它弱化到一个角落里面就跟那个小米汽车它对外打广告一样的，他不想表达出来的东西，但又要有你给他写的很小，他不是那么扎眼。

胡高鹏(02:02:57): OK 那签名的话。

李飞宇(02:03:10): 不是我。不是我觉得不就干脆不要医生签名就解读医生就或者是在这个解读内容的最最后面出现这个本本解读报告有什么什么医生进行，你就别让他弄这个签名什么的了，这样的话一弄前面就这个责任感就更大一些，就很麻烦了。

陈俊(02:03:23): 也可以！

胡高鹏(02:03:30): 很好。那就不要签名吧，不要签名，然后只要后面把这个这一上面全部弱化掉，放到一个角落，然后就由什么医生，然后那个解读就 OK 了。

刘佳(02:03:48): 我还想补充一下，就是我看过北京中心李瑞奇主任，然后在京东互联网医院做报告解读的一个全的全全部的一个流程，首先这个报告解读里面医生的信息是要展示的，因为这相当于是医生提供的一个服务，而且我们也是要通过这个服务来给医生费用的，所以医生的信息是要名字，这些信息是要展示的，然后第二个就是这个报告解读在这个场景当中，它是一个一来一回的一个过程，就是医生会根据患者的报告，然后去做一些说明，然后患者看到了医生的回复之后，他也会提出些。它是一来一回的一个过程，这样才能形成一个所谓的服务记录。这样的话，到时候即使说有人查起来，我们是一个完整的服务记录，它就不会有问题。然后第三个的话，就是说，一来一回的服务的记录回答的这个过程，其实。就够了，不需要签名就没有签名这一说。

胡高鹏(02:04:52): 好好行，那就不要签名嘛，对把名字弱化，就这两个点对。

陈俊(02:04:58): 如果是要写个报告医生，那就写写在那里面，然后你展示界面，尽量展他解释的那个内容，他的名字这些细节就弱化。

胡高鹏(02:05:02): 好好行。我把这个全部都删掉，放在右下角，全部提到最上面，然后整体 UI 把我自己都小一点。

陈俊(02:05:14): 参考一下其他的互联网平台设计好。

胡高鹏(02:05:19): OK OK。

陈俊(02:05:23): 那我们今天就这样子！还有什么补充吗？没有大大家涂律师你这有吗？

涂丰涛(02:05:34): 没有补充针对流程的。

陈俊(02:05:37): 好那。

刘佳(02:05:38): 军总，这有一个补充，就是我们在前面刚刚提到在前面入口的那里，就说医生开医生让患者然后通过亲的平台去下单，这个里面就是说我建议这个里面最好是患者用他自己的手机去操作，这样会比较好，一方面是因为这就体现了患者的自主选择。另外一个方面，就是在我们实际的线下的这个医生就是医生在给患者推荐到银曼影像中心做检查的时候，其实很多医生他为了规避一些麻烦，他都会跟医生说他都会跟患者说，这周边有好几个这个做影像的有一。卖的有那个开普的你去哪个都可以，然后患者就会自主去选择去移卖，还是去开普，那么在这个过程当中，医生会记一下自己会记下这个患者的姓名，以及他要做的检查项目，他会给开普的运营人员发一个给移卖的运营人员发。然后到时候不管是移卖还是开普，谁给他反馈，说做了，那就谁给他钱是有这个流程在，所以我是在考虑这个里面，我们最好是患者自己去。登录青藤的平台去开开下单子，然后医生可以去协助。

陈俊(02:06:52): 他是他现在这样的他医生给他的信息是什么？是他应该做什么检查，至于去哪里做，那是老百姓自己选择的。

陈俊(02:07:04): 他去哪里做，他才会付钱。他要核对几个信息，你做什么检查去哪里做，然后付钱。

刘佳(02:07:11): 对，然后这里面还有一个付钱这里的话，你看在我们的流程里面是会生成用患者通过千腾平台下单之后，它会生成一个互联网医院的青藤互联网医院的问诊码，然后问诊码之后和我们的互联网医院的医生来去问诊，这个支付是在互联网医院的医生问诊结束之后。然后患者来选择机构来进行支付，还是在医生就是患者自己下完单之后他就支付了，支付完再问诊，也是需要去讨论一下的。

袁戎(02:07:48): 我都已经跟高鹏讲过了，我们说他选完了之后支付，因为本身这个问题的过程是个自动的过程。

刘佳(02:07:57): 问诊完互联网问诊完了之后再支付。

袁戎(02:07:58): 要先支付对先致富再问斩就是患者不支付他都不会进到这里来，所以就没有这个处方。

刘佳(02:08:11): 他不支付就不会进到互联网问诊这一步？

袁戎(02:08:15): 因为他不支付他后面就也他也不会做实际检查嘛，相当于我建议就只是一个建议了嘛，他就不会去做检查，他支付，其实我这个页面为了让他这个流程是从医疗逻辑是一个医嘱过程。

陈俊(02:08:32): 但是。这样的不，这里有个问题就是他选择不同的中心，他的价格是不一样的。

袁戎(02:08:45): 所以他患者本来就要选嘛，他在前面就会选。

陈俊(02:08:49): 比如选择。

胡高鹏(02:08:50): 对他在这里嘛！

袁戎(02:08:50): 就好像患者就好像好大夫上患者选图文问诊还是电话问诊，还是视频问诊，价格也是不一样的，但他都是先交钱才会有后面这个行为。

陈俊(02:09:02): 我知道，我们这个毕竟是检查，就是你不开出检查单来，我怎么知道我要做什么检查？

袁戎(02:09:11): 检查单是前面线下的医生就已经开好了，他只是带过来。

胡高鹏(02:09:17): 在这里，然后他把这个二维码在这个诊所，医生把这里填了信息，然后二维码然后给带过来，以后在这里你看这里他不说你好，我是互联网医生已收到你的头痛，这些信息就是通过这个二维码带过来的，带到这里的互联网医医生给他解答问诊过程中，然后生成在这里支付点，这个后面就跳转到之前的支付的页面。

袁戎(02:09:23): 这就是检查单吗？

陈俊(02:09:42): 我跟先付钱肯定更好，就尽量设计肯定是先付钱，然后再去肩负。

胡高鹏(02:09:49): 但是。

袁戎(02:09:50): 肯定先付钱再来走这个动作不要让患者等嘛，患者就是医生给了他就来选择。

陈俊(02:09:57): 他先付钱的，我刚刚考虑到有一个 bug 就是什么 bug 的，你不告诉我做什么检查，我不知道怎么付多少钱逻辑关系，他是你得先告诉我做什么检，我再这。

袁戎(02:10:07): 做检查做检做什么检查不就是我们说线下医生就已经告诉他了吗？我所以我觉得就大家一定要把这个场景理清楚。

陈俊(02:10:16): 那你现在你是断的，现在医生刚刚不聊了吗？你是断的，你不能跟跨上！

袁戎(02:10:23): 这个你说他这个怎么把这个信息给他的这个行为就是我不要那么硬的一个去，但这个行为一定是线下医生就告诉他了，因为线上医生不会告诉他的。

陈俊(02:10:34): 我知道，我知道你的意思。

袁戎(02:10:39): 就是线下医生告诉，所以他只要告诉患者是先交钱再来去走这个互联网医生的互联网平台的动作。

胡高鹏(02:10:47): 等稍稍等一下，就这里的流程是进来，然后问诊，然后123这个动作搞完以后再去生成，然后点确认，然后再去支付吧。我怎么听得这么感觉？

袁戎(02:10:59): 这里是这里生成的，是检查单在前面支付对，就我就跟你讲就好，大夫里面你本质就要选什么，就是我是图文问诊还是视频问诊，还是电话问诊，它就是不一样的价格。

胡高鹏(02:11:07): 在一进来这个页面就支付了一进来界面。

袁戎(02:11:18): 但是你都是先付钱才有后面的行为。

胡高鹏(02:11:20): 那后面就相当于说，那如果这样的后面就这些东西都不要有了，就不要预约时间，这些东西就因为你前面钱已经付了，然后这些东西。

袁戎(02:11:28): 那就确定的嘛，对这后面都是确定的时间都是确定的信息。

胡高鹏(02:11:38): 但是你钱付了你不是我说的这里有个问题点吧，就是虽然说那个好大夫那边视频问诊和图文问诊，你先付钱，但是那个固定的费用你一上来把那个价格付了以后，他如果在中途他想改我临时拍脑袋，他想换一个机构，但是你换一个机构不是那个检查项目的那个价格又不一样吗？所以我理解为是不是？

袁戎(02:12:01): 不想换那就多退少补，这个也没有问题，他想换是换，我们本来都可以换的你你不是交费了他还可以取消吗？这个你的这个东西又不影响。

刘佳(02:12:10): 还有这里有一个小的问题，就是你看患者其实支付是在开单页面支付的，那我理解为就是我们的青藤的小程序，青藤的平台去支付的问诊这一块互联网医生问诊这块是在青藤互联网医院上去问诊的。

胡高鹏(02:12:28): 这个也是在小城上，对同一个页面就是做那对。

刘佳(02:12:30): 也是小程序上！如果是同一个页面可以，如果是分成两个的话，我觉得就。

胡高鹏(02:12:41): 从都是在小城市应该来说。

陈俊(02:12:43): 我肯定都在一个平台上完成的，你怎么可能会去搞两个东西就是一个地方。

袁戎(02:12:48): 平台只有一个平台，有两个主体。

陈俊(02:12:54): 对。

刘佳(02:12:58): 但你两个主体，你你，你相当于比如说他的钱，比如说患者通过青藤的 h5页面，青藤小程序开支付，他是在把钱我理解是交到西藏一脉青藤了。那如果说是互联网医院上，如果说我们把这个支付后置。他是互联网医院上问完诊之后然后再去支付，那我理解这个钱是交到青岛一脉互联网医院上，那这是两个吧，这是两个主体吗？

陈俊(02:13:28): 他是这样的，这刚好邓俊然也在哈，可能是不是会开出两张发票，一张叫平台的费用一张叫。检查费，无论是哪个发票，其实都是一脉相承的主体，你理解吧，一个是代表医疗行为，一个是代表的是平台撮合行为。

陈俊(02:13:57): 邓娟。

陈俊(02:14:06): 你收费这个症状是怎么收更好。

一米阳光(02:14:17): 为了我们全全额确认的话。先平台上预会挂着像悬着，然后再给互联网医院，互联网医院再给到交付医院。这三方可能我们跟交付医院去签合同的时候。要签三方合同？

陈俊(02:14:45): 不你你说的那是我们跟下面的医院怎么签合同的问题，现在我们第一步我们得收到钱是收是两个主体去收钱，还是说一个主体去收钱？

一米阳光(02:15:00): 首先收钱肯定是先通过平台的平台先撮合平台，也不是平台的钱，就相当于是平台的。这服务的这不是平台公司的账？会先以平台去收。

陈俊(02:15:30): 你平台先收你开发票，你开什么发票？是个医疗行为吧？不涂律师跟袁博这个事情。你们怎么看？

涂丰涛(02:15:56): 我们俊总，我们现在现在签的协议都是以。吗？跟那些交？诶，刚刚有点卡。

陈俊(02:16:11): 你先你信号是断的喂？

涂丰涛(02:16:16): 刚刚有点卡。我们现在的逻辑是。

陈俊(02:16:19): 对你你刚。可以听到喂！

涂丰涛(02:16:28): 我们现在的逻辑是由平台统一收费，然后是以服务费的方式去收的。收完之后再去给到交付中心以及交付跟交付它分两块一块是检查一块是诊断。出诊断报告的就停天高那边的是这样的一个逻辑，因为因为平台它本身不是医疗机构嘛，所以它收费它他没法是收医疗服务费。这样的逻辑！

一米阳光(02:17:07): 平台收只能是代收的，等到互联网医院我们有资质了，互联网医院我们才正儿八经这个钱应该要划拨到互联网医院，互联网医院再采买交再采买那些报告，那些问诊。那些费用或者说他就把互联网医院当做是平台的采买服务的对象？

涂丰涛(02:17:39): 互联网医院是独立于平台，跟平台是两个相互独立的法人主体。

一米阳光(02:17:47): 平台反正平台只是过一下账，它只是一种代收，即使入了平台的账，它也对外的过程，它就是代收，我们前期可以闭着眼睛可以做，我就收到了这个收入，它是不合规的。

涂丰涛(02:18:03): 因为他我们原来最开始的协议上面是说他是一种代收代付的行为，因为平台定位的它是一个撮合平台，它整个服务。医疗服务都是由平台上的医疗机构去提供的。如果说未来都是由互联网医院去收费的话，那相当于互联网医院就是整个诊疗服务的一个。一共方他向患者收费给患者开票，然后同时开医疗服务费的发票，同时这个互联网医院再去向交付中心检查中检查跟诊断的。去购买检查跟诊断的服务，那是这样的逻辑。

陈俊(02:18:58): 对在税务方面会不会有一些就是相当于互联网医院这家主体公司把所有的费用收到了，收到之后。

袁戎(02:18:59): 把记录。

陈俊(02:19:08): 他再去向平台付钱，再去向交付中心付钱，再去向报告机构付钱等等这个所有的未来的这个都是这样的一个支付链路。

一米阳光(02:19:42): 等我们有互联网资质的时候，

陈俊(02:19:43): 像这种情况。

袁戎(02:19:43): 听得到，听得到。

一米阳光(02:19:45): 收费系统应该挂到互联网医院，他才有收费资格才有，是正儿八经属于他收入的资格。然后再去就不是在平台上分了？就再划分给平台划分给交付医院划分给报告划分给问诊。

袁戎(02:20:08): 对那个就我们之前讨论这个问题嘛，就是首先我们拿互联网医院的执照，这个资质本身就在解决收费的合规问题，就是所有的钱都是互联网医院来收，然后互联网医院去找我们说的这个平台去采购这个咨询报告，因为。这些开单的医生，我们是通过平台签，他不是跟互联网医院去签，所以是整个所有的患者交钱，不管他在哪里交什么时候交所谓的什么。这个页面以前叫之后叫它都是交给互联网医院这个主体。那么互联网医院再去给交付中心，再去给我们自己的平台，就是给医生解决医生的费用的问题，解决渠道的问题，就都通过这个互联网医院再去付其他的钱。

陈俊(02:20:55): 现在我们跟下面的交付中心签的合同仔细看一下，就是我们上面说了个平台，我们不负责任何医疗行为，咱们现在跟交互中心签的那个。

袁戎(02:21:06): 因为我们之前没有互联网医院的资质，我们现在只有一个平台。你不能不可能去签？

陈俊(02:21:11): 对，但是今天先确定一个事情嘛哈，我们先确定一个事情是这样的，就在我们没有拿到互联网医院的资质这个事情之前，我们先借一脉阳光的那个互联网医院去解决这个就是医疗的行为，那么。那么收钱是由平台公司就是西藏一脉青藤来收，收完之后，然后那个一脉阳光的互联网医院付这边的钱，像那等等就不同的主体去付不同的钱，现在我们短期。是这样去解决，然后如果等这个互联网医院的资质拿到之后，比方说两个月之后，三个月之后我们拿到了就可能要推动几件事情，一个是所有的收费逻辑全部由这个互联网这家主体来收，然后第二个就是所有的在此签的交付中心的协议可能全部要签补充协议。直接换协议，这个事情是这样，涂力士。

涂丰涛(02:22:16): 现在我倒觉得没有必要去换了，因为因为一脉的互联网往医院，它给我们解决的只是一个。开开单的这么一个动作。

一米阳光(02:22:38): 那涂律师不全是因为互联网医院你有诊疗资质，

涂丰涛(02:22:39): 它只起这么一个作用。因为最终的报告。

一米阳光(02:22:46): 你在平台上接单，确认服务费收入的前提前置条件。

涂丰涛(02:22:53): 不是你现在是一脉阳光的话，你没必要把费用给到他那边去干嘛？因为我们现在这个平台定义的是一个撮合平台，它并不是一个诊疗服务的平台。不提供医疗服务！

一米阳光(02:23:06): 对，如果我不把互联网医院来的话，你就你你你不签的话，你就很难，钱是指互联网医院去支付给医院，只去跟他发生交易嘞。你必须把互联网医院跟交付医院扯上关系。

涂丰涛(02:23:33): 我们现在是直接用平台跟交付的医院去发生的关系！

一米阳光(02:23:39): 对，现在是嘛？现在是不合规状态，我们就先这样子整嘛。

陈俊(02:23:44): 我听明白了涂律师的意思，我们现在是一个撮合平台。

涂丰涛(02:23:47): 我们。

陈俊(02:24:06): 对就是我来理解一下涂律师的意思，涂律师这样的就是我们现在定位我们自己。

一米阳光(02:24:06): 听得见。

袁戎(02:24:07): 对头，你说听得到？

